band_index,age_band,population
0,0-4,1042254
1,5-9,1172633
2,10-14,1167674
3,15-19,1439181
4,20-24,1755477
5,25-29,1822973
6,30-34,1807548
7,35-39,2146295
8,40-44,2119022
9,45-49,2349511
10,50-54,2058334
11,55-59,2080066
12,60-64,1546135
13,65-69,1048866
14,70+,2123894
