band_index,age_band,population
0,0-4,1105037
1,5-9,1176897
2,10-14,1164698
3,15-19,1520515
4,20-24,1783137
5,25-29,1753436
6,30-34,1905403
7,35-39,2121660
8,40-44,2181750
9,45-49,2321126
10,50-54,2069910
11,55-59,2028672
12,60-64,1463595
13,65-69,997193
14,70+,1997436
